Topic,Title,Author Name,Author URL,Pages,Format,Publication Info,Genres,Book URL
10th-century,The Weaver and the Witch Queen,Genevieve Gornichec,https://www.goodreads.com/author/show/18360585.Genevieve_Gornichec,424,Hardcover,2023-07-25,"['fantasy', 'historical-fiction', 'mythology', 'fiction', 'historical', 'witches', 'retellings']",https://www.goodreads.com/book/show/63277500-the-weaver-and-the-witch-queen
10th-century,The Children of Gods and Fighting Men,Shauna Lawless,https://www.goodreads.com/author/show/22225370.Shauna_Lawless,416,Kindle Edition,2022-09-1,"['fantasy', 'historical-fiction', 'mythology', 'fiction', 'historical', 'historical-fantasy', 'adult']",https://www.goodreads.com/book/show/60387416-the-children-of-gods-and-fighting-men
10th-century,"The Ink Dark Moon: Love Poems by Ono no Komachi and Izumi Shikibu, Women of the Ancient Court of Japan",Ono no Komachi,https://www.goodreads.com/author/show/110183.Ono_no_Komachi,212,Paperback,1988-03-1,"['poetry', 'japan', 'japanese-literature', 'classics', 'asia', 'history', 'literature']",https://www.goodreads.com/book/show/189048.The_Ink_Dark_Moon
10th-century,Ibn Fadlān and the Land of Darkness: Arab Travellers in the Far North,Ahmad ibn Fadlān,https://www.goodreads.com/author/show/49810.Ahmad_ibn_Fadl_n,239,Paperback,921-01-1,"['history', 'travel', 'non-fiction', 'classics', 'islam', 'medieval', 'russia']",https://www.goodreads.com/book/show/11038268-ibn-fadl-n-and-the-land-of-darkness
10th-century,War Lord,Bernard Cornwell,https://www.goodreads.com/author/show/12542.Bernard_Cornwell,333,Hardcover,2020-10-15,"['historical-fiction', 'fiction', 'historical', 'audiobook', 'war', 'fantasy', 'adventure']",https://www.goodreads.com/book/show/52033836-war-lord
10th-century,Beowulf,Unknown,https://www.goodreads.com/author/show/4699102.Unknown,259,Paperback,1000-01-1,"['poetry', 'fiction', 'fantasy', 'classics', 'mythology', 'school', 'literature']",https://www.goodreads.com/book/show/52357.Beowulf
10th-century,The Evening and the Morning,Ken Follett,https://www.goodreads.com/author/show/3447.Ken_Follett,913,Hardcover,2020-09-15,"['historical-fiction', 'fiction', 'historical', 'audiobook', 'fantasy', 'medieval', 'british-literature']",https://www.goodreads.com/book/show/49239093-the-evening-and-the-morning
10th-century,The Abbot's Tale,Conn Iggulden,https://www.goodreads.com/author/show/119121.Conn_Iggulden,480,Hardcover,2017-06-27,"['historical-fiction', 'fiction', 'historical', 'medieval', 'british-literature', 'audiobook', '10th-century']",https://www.goodreads.com/book/show/36327062-the-abbot-s-tale
10th-century,Avalon,Anya Seton,https://www.goodreads.com/author/show/18930.Anya_Seton,440,Paperback,1965-01-1,"['historical-fiction', 'fiction', 'historical', 'romance', 'arthurian', 'fantasy', 'medieval']",https://www.goodreads.com/book/show/36252.Avalon
10th-century,The Unbroken Line of the Moon,Johanne Hildebrandt,https://www.goodreads.com/author/show/744576.Johanne_Hildebrandt,464,Kindle Edition,2016-10-1,"['historical-fiction', 'fantasy', 'fiction', 'mythology', 'historical', 'romance', 'paranormal']",https://www.goodreads.com/book/show/31136094-the-unbroken-line-of-the-moon
