Topic,Book Count
10th-century,12648
11th-century,11721
12th-century,18584
13th-century,16987
14th-century,26954
15th-century,31381
16th-century,84725
17th-century,106999
1864-shenandoah-campaign,49
18th-century,191290
1917,13556
19th-century,727522
1st-grade,129569
20th-century,1500320
21st-century,1071835
2nd-grade,124596
ableism,13532
abuse,693689
academia,359648
academic,687915
academics,132809
accounting,11501
accra,791
action,1447703
activism,165585
adaptations,200332
addis-ababa,97
addition,11630
adhd,52368
adoption,123932
adult-colouring-books,402
adult-fiction,2504571
adventure,3265286
adventurers,18729
africa,461799
african-american,272882
african-american-literature,45681
african-american-romance,18015
african-literature,59785
agender,528
agriculture,48793
ahistory,592
aircraft,5213
airliners,38909
airships,3616
albanian-literature,2742
alchemy,57362
alcohol,47112
alexandria,82756
algebra,10525
algeria,16357
algiers,1624
algorithms,10552
aliens,425658
alternate-history,281098
alternate-universe,151034
alternative-medicine,11428
amateur-sleuth,62858
amazon,1604786
ambulance-service,41
ambulances,6665
american,1389905
american-civil-war,56103
american-classics,163190
american-fiction,289140
american-history,586431
american-novels,77548
american-revolution,48639
american-revolutionary-war,5109
americana,385878
amish-fiction,24708
amish-historical-romance-fiction,1177
ancient,194149
ancient-history,224602
androgyne,1474
angels,305840
anglo-saxon,42816
angola,5530
animal-fiction,62585
anime,122427
anthropology,460234
anthropomorphic,75705
anti-intellectualism,2017
anti-racist,34732
anti-science,685
antietam-campaign,92
antiquities,22425
antisemitism,18930
apocalyptic,243450
apple,82632
applied-mathematics,1365
appomattox-campaign,73
archaeology,110545
architecture,224375
arithmetic,3443
army-of-northern-virginia,268
army-of-tennessee,217
army-of-the-potomac,218
art,1634271
art-books-monographs,498
art-design,64891
art-history,154434
arthurian,66775
asexual,20546
asia,516861
asian-literature,168882
asmara,452
aspergers,7752
astrology,67705
astronomy,76321
atheism,89594
atlanta-campaign,55
atlases,1275
aussie-rules-football,20
australia,231595
autistic-spectrum-disorder,1004
autobiography,688148
aviation-history,2657
azeroth,580
babylon-5,3779
back-to-school,59543
bad-science,5492
baha-i,5252
bande-dessinée,117983
bangladesh,15461
banking,9351
banks,7522
banned-books,283830
barter,2242
baseball,111928
basketball,24321
batman,148796
battle-of-britain,1425
battle-of-gettysburg,1017
battles-of-the-american-civil-ear,98
bdsm,747942
beading,3544
beauty-and-the-beast,68547
beer,18877
belgian,18448
belgium,42312
belief,41786
benghazi,561
benin,4440
beverages,2625
biblical-fiction,39122
bicycles,5720
bigfoot,3508
biography,3208103
biology,282150
birds,126290
bisexual,84920
bisexual-romance,2074
bizarro-fiction,7283
black-literature,42540
boarding-school,99534
bodies,23689
bolivia,10828
bolsheviks,1169
bombers,1024
bookkeeping,821
books-about-books,467420
booze,8509
botswana,6995
boys-love,41142
brain,125272
brazil,59241
brazzaville,565
brewing,4657
british-literature,676822
buddhism,204258
buffy-the-vampire-slayer,10497
bulgaria,11187
bulgarian-literature,8037
burkina-faso,1179
burundi,1451
buses,6957
business,1625182
business-ethics,8085
butch-femme,9257
cabo-verde,940
cairo,4574
calculation,470
calculus,4097
cameroon,5109
campus,29676
canada,304656
canadian-literature,69514
canterbury-tales,697
cape-town,1624
carolinas-campaign,20
carolingian,680
cars,21686
cartography,8260
cartoon,38921
castile,832
category-romance,89345
catholic,192398
cats,230961
central-africa,3058
central-african-republic,989
chad,39797
challenged-books,34039
chancellorsville-campaign,43
chapter-books,477649
chemistry,92895
chess,79774
chick-lit,2083424
childrens,2903074
childrens-classics,135229
china,356061
chinese-literature,42248
chivalry,8510
choose-your-own-adventure,14095
christian-contemporary-fiction,7120
christian-fantasy,29198
christian-fantasy-dystopian,1843
christian-fiction,694762
christian-fiction-amish,1729
christian-historical-fiction,39319
christian-living,251987
christian-non-fiction,145428
christian-romance,114853
christian-romance-historical,3799
christianity,647096
christmas,1242984
chupacabra,532
church,147515
church-history,82806
church-ministry,10223
cinderella,29864
cisgender,1234
cities,104358
civil-engineering,3744
civil-war,179678
civil-war-confederacy,516
civil-war-eastern-theater,1550
civil-war-history,11464
civil-war-navy,1272
civil-war-western-theater,869
class,395563
class-issues,51759
classic-literature,700536
classical-music,10070
classical-studies,68562
classics,9623066
clean-romance,230015
climate-change,63418
climate-change-denial,537
climate-change-fiction,3174
climbing,15351
cocktails,10606
coding,34175
coin-collecting,257
collections,534575
college,1131244
comedian,5176
comedy,1001689
comic-book,246038
comic-fantasy,25563
comic-science-fiction,1550
comic-strips,30407
comics,5361970
coming-of-age,1041203
comix,161705
communication,164247
comoros,626
complementary-medicine,2367
computation,6707
computer-reference,1656
computer-science,159835
computers,96518
conflict-of-interest,807
conspiracy-theories,35098
consumer-economics,445
contemporary,8969107
contemporary-romance,2975342
contemporary-romance-clean,316
cookbooks,1017775
cooking,480374
coptic-language,465
coptology,146
copts,550
costume-history,1912
counselling,34851
counter-culture,20049
counting,28432
couture,1265
cozy-mystery,740572
crafts,126139
creation-science,1739
crime,3072858
criticism,298600
crochet,25468
cross-dressing,17964
cryonics,6923
cryptids,11203
cryptozoology,10458
cthulhu-mythos,16435
cuisine,21451
culinary,59932
cult-classics,104330
cults,71732
cultural,787577
cultural-heritage,8487
cultural-studies,219891
curation,2407
currency,2505
cw-bentonville,10
cw-iuka-corinth,5
cw-stones-river,6
cw-west-va,45
cyberpunk,128053
cycling,19078
czech-literature,27593
dakar,486
danish,146070
dark-fantasy,369539
dc-comics,234342
deception,106151
democratic-republic-of-the-congo,1971
demons,431949
denialism,664
denmark,42892
dentistry,4000
design,338270
detective,722817
dictionaries,17898
diets,3397
dinosaurs,51238
disability-studies,24176
disabled-communities,1101
discipleship,59412
disease,59338
distrust,98371
divination,26155
division,7758
divorce,76802
djibouti,1118
doctor-who,187243
dogs,243246
domestic-science,1520
drag,9063
dragonlance,49835
dragons,504622
drama,2410872
drawing,46059
dressmaking,1344
drinking,20696
dungeons-and-dragons,49337
dungeons-and-dragons-manuals,466
dutch-literature,53955
dying-earth,7994
dystopia,1416908
earth,64030
earth-sciences,4841
eastern-africa,1245
eastern-philosophy,38428
ecclesiology,20260
ecology,112940
economic-development,8149
economics,850393
education,995226
edwardian,73021
egypt,125489
egyptian-literature,7415
egyptology,19674
electrical-engineering,4652
elizabethan-period,1688
elves,66612
emotion,58776
empiricism,10027
engineering,125577
english-civil-war,4889
english-literature,578841
entrepreneurship,128573
environment,291589
environmental-science,11975
epic,566895
epic-fantasy,502038
epic-poetry,31675
equatorial-guinea,1172
eritrea,1922
erotic-historical-romance,6424
erotic-horror,8103
erotic-paranormal-romance,14033
erotic-romance,495822
erotica,1647563
esoterica,53629
esp,73520
espionage,306896
essays,963448
ethiopia,10283
ethnic,49326
ethnic-studies,20169
ethnicity,18302
ethnography,38938
eugenics,8524
eunuch,1625
european-history,325741
european-literature,465426
evangelism,26930
evolution,117462
experimental-archaeology,567
f-f-f,977
f-m-f,1455
fables,100619
fae,417121
fairies,171515
fairy-tale-retellings,120887
fairy-tales,569134
faith,537457
family,1928536
family-law,6148
fandom,74173
fantasy,25707760
fantasy-of-manners,15043
fantasy-romance,697662
far-right,3295
fashion,159792
fashion-design,3441
fashion-designers,614
fashion-history,5779
fat,9591
fat-acceptance,2170
fat-studies,3451
feminist-studies,25040
feminist-theory,33726
femslash,4022
ferdinand-and-isabella,581
ferries,6239
field-guides,11505
fighters,58315
figure-skating,3485
film,472489
finance,381836
financial-management,4087
finnish-literature,34790
fire-engines,502
fire-services,472
firefighters,18719
fitness,89392
flash-fiction,5434
florence-nightingale,639
folk-tales,60365
folklore,325395
food,672185
food-and-drink,113310
food-and-wine,15204
food-history,16687
food-preservation,1389
food-science,5293
food-writing,32294
foodie,69215
forgotten-realms,71252
foster-children,4874
foster-parents,3656
fostering,12084
foursome,1312
fractured-fairy-tales,22606
france,662717
frankensteins-monster,901
freetown,34
french-literature,300554
french-revolution,32411
fringe-science,10043
frugal,1938
functional-analysis,6024
fundamentalism,7555
futuristic-romance,17204
gabon,995
gaborone,41
game-design,16357
gamebooks,13558
games,112995
gaming,80062
gaming-fiction,5015
gardening,160059
gastronomy,14002
gay,626797
gay-erotica,14532
gay-fiction,64168
gay-for-you,43956
geek,95696
gemstones,8412
gender-identity,12983
gender-roles,43829
gender-studies,131100
genderfluid,2179
genderfuck,1864
genderqueer,7227
genetics,45013
geoffrey-chaucer,6134
geography,222873
geology,33717
geometry,7388
georgian,64391
georgian-romance,12061
german-literature,192666
germany,340236
ghana,7951
ghost-stories,114087
ghosts,450010
glaciers,6518
gliders,5679
global-warming,8305
gnosticism,18922
go,146189
god,122111
goddess,21845
gods,151300
golden-age-mystery,38473
google,153322
goth,53313
gothic,744523
gothic-horror,130221
gothic-revival,2146
gothic-romance,57094
government,158037
grad-school,418405
graffiti,7560
graphic-literature,18591
graphic-non-fiction,8498
graphic-novels,4173718
graphica,19789
greece,163561
greek-mythology,191968
green,206677
grimm,12775
growth-mindset,30272
guidebook,10522
guides,65610
guinea,2148
guinea-bissau,5667
gynaecology,48
habsburg-empire,1129
habsburg-spain,5552
hackers,9700
halloween,363108
harare,453
hard-boiled,57103
